12.08;KAB. SIMALUNGUN, SUMATERA UTARA
11.09;KAB. SIMEULUE, ACEH
73.07;KAB. SINJAI, SULAWESI SELATAN
61.05;KAB. SINTANG, KALIMANTAN BARAT
35.12;KAB. SITUBONDO, JAWA TIMUR
34.04;KAB. SLEMAN, DAERAH ISTIMEWA YOGYAKARTA
13.02;KAB. SOLOK, SUMATERA BARAT
13.11;KAB. SOLOK SELATAN, SUMATERA BARAT
73.12;KAB. SOPPENG, SULAWESI SELATAN
92.01;KAB. SORONG, PAPUA BARAT
92.04;KAB. SORONG SELATAN, PAPUA BARAT
33.14;KAB. SRAGEN, JAWA TENGAH
32.13;KAB. SUBANG, JAWA BARAT
32.02;KAB. SUKABUMI, JAWA BARAT
62.08;KAB. SUKAMARA, KALIMANTAN TENGAH
33.11;KAB. SUKOHARJO, JAWA TENGAH
53.12;KAB. SUMBA BARAT, NUSA TENGGARA TIMUR
53.18;KAB. SUMBA BARAT DAYA, NUSA TENGGARA TIMUR
53.17;KAB. SUMBA TENGAH, NUSA TENGGARA TIMUR
53.11;KAB. SUMBA TIMUR, NUSA TENGGARA TIMUR
52.04;KAB. SUMBAWA, NUSA TENGGARA BARAT
52.07;KAB. SUMBAWA BARAT, NUSA TENGGARA BARAT
32.11;KAB. SUMEDANG, JAWA BARAT
35.29;KAB. SUMENEP, JAWA TIMUR
91.19;KAB. SUPIORI, PAPUA
63.09;KAB. TABALONG, KALIMANTAN SELATAN
51.02;KAB. TABANAN, BALI
73.05;KAB. TAKALAR, SULAWESI SELATAN
92.09;KAB. TAMBRAUW, PAPUA BARAT
65.04;KAB. TANA TIDUNG, KALIMANTAN UTARA
73.18;KAB. TANA TORAJA, SULAWESI SELATAN
63.10;KAB. TANAH BUMBU, KALIMANTAN SELATAN
13.04;KAB. TANAH DATAR, SUMATERA BARAT
63.01;KAB. TANAH LAUT, KALIMANTAN SELATAN
36.03;KAB. TANGERANG, BANTEN
18.06;KAB. TANGGAMUS, LAMPUNG
15.06;KAB. TANJUNG JABUNG BARAT, JAMBI
15.07;KAB. TANJUNG JABUNG TIMUR, JAMBI
12.03;KAB. TAPANULI SELATAN, SUMATERA UTARA
12.01;KAB. TAPANULI TENGAH, SUMATERA UTARA
12.02;KAB. TAPANULI UTARA, SUMATERA UTARA
63.05;KAB. TAPIN, KALIMANTAN SELATAN
32.06;KAB. TASIKMALAYA, JAWA BARAT
15.09;KAB. TEBO, JAMBI
33.28;KAB. TEGAL, JAWA TENGAH
92.06;KAB. TELUK BINTUNI, PAPUA BARAT
92.07;KAB. TELUK WONDAMA, PAPUA BARAT
33.23;KAB. TEMANGGUNG, JAWA TENGAH
53.02;KAB. TIMOR TENGAH SELATAN, NUSA TENGGARA TIMUR
53.03;KAB. TIMOR TENGAH UTARA, NUSA TENGGARA TIMUR
12.12;KAB. TOBA, SUMATERA UTARA
72.09;KAB. TOJO UNA UNA, SULAWESI TENGAH
72.04;KAB. TOLI TOLI, SULAWESI TENGAH
95.04;KAB. TOLIKARA, PAPUA PEGUNUNGAN
73.26;KAB. TORAJA UTARA, SULAWESI SELATAN
35.03;KAB. TRENGGALEK, JAWA TIMUR
35.23;KAB. TUBAN, JAWA TIMUR
18.05;KAB. TULANG BAWANG, LAMPUNG
18.12;KAB. TULANG BAWANG BARAT, LAMPUNG
35.04;KAB. TULUNGAGUNG, JAWA TIMUR
73.13;KAB. WAJO, SULAWESI SELATAN
74.07;KAB. WAKATOBI, SULAWESI TENGGARA
91.15;KAB. WAROPEN, PAPUA
18.08;KAB. WAY KANAN, LAMPUNG
33.12;KAB. WONOGIRI, JAWA TENGAH
33.07;KAB. WONOSOBO, JAWA TENGAH
95.03;KAB. YAHUKIMO, PAPUA PEGUNUNGAN
95.06;KAB. YALIMO, PAPUA PEGUNUNGAN
31.73;KOTA ADM. JAKARTA BARAT, DKI JAKARTA
31.71;KOTA ADM. JAKARTA PUSAT, DKI JAKARTA
31.74;KOTA ADM. JAKARTA SELATAN, DKI JAKARTA
31.75;KOTA ADM. JAKARTA TIMUR, DKI JAKARTA
31.72;KOTA ADM. JAKARTA UTARA, DKI JAKARTA
81.71;KOTA AMBON, MALUKU
64.71;KOTA BALIKPAPAN, KALIMANTAN TIMUR
11.71;KOTA BANDA ACEH, ACEH
18.71;KOTA BANDAR LAMPUNG, LAMPUNG
32.73;KOTA BANDUNG, JAWA BARAT
32.79;KOTA BANJAR, JAWA BARAT
63.72;KOTA BANJARBARU, KALIMANTAN SELATAN
63.71;KOTA BANJARMASIN, KALIMANTAN SELATAN
21.71;KOTA BATAM, KEPULAUAN RIAU
35.79;KOTA BATU, JAWA TIMUR
74.72;KOTA BAU BAU, SULAWESI TENGGARA
32.75;KOTA BEKASI, JAWA BARAT
17.71;KOTA BENGKULU, BENGKULU
52.72;KOTA BIMA, NUSA TENGGARA BARAT
12.75;KOTA BINJAI, SUMATERA UTARA
71.72;KOTA BITUNG, SULAWESI UTARA
35.72;KOTA BLITAR, JAWA TIMUR
32.71;KOTA BOGOR, JAWA BARAT
64.74;KOTA BONTANG, KALIMANTAN TIMUR
13.75;KOTA BUKITTINGGI, SUMATERA BARAT
36.72;KOTA CILEGON, BANTEN
32.77;KOTA CIMAHI, JAWA BARAT
32.74;KOTA CIREBON, JAWA BARAT
51.71;KOTA DENPASAR, BALI
32.76;KOTA DEPOK, JAWA BARAT
14.72;KOTA DUMAI, RIAU
75.71;KOTA GORONTALO, GORONTALO
12.78;KOTA GUNUNGSITOLI, SUMATERA UTARA
15.71;KOTA JAMBI, JAMBI
91.71;KOTA JAYAPURA, PAPUA
35.71;KOTA KEDIRI, JAWA TIMUR
74.71;KOTA KENDARI, SULAWESI TENGGARA
71.74;KOTA KOTAMOBAGU, SULAWESI UTARA
53.71;KOTA KUPANG, NUSA TENGGARA TIMUR
11.74;KOTA LANGSA, ACEH
11.73;KOTA LHOKSEUMAWE, ACEH
16.73;KOTA LUBUK LINGGAU, SUMATERA SELATAN
35.77;KOTA MADIUN, JAWA TIMUR
33.71;KOTA MAGELANG, JAWA TENGAH
73.71;KOTA MAKASSAR, SULAWESI SELATAN
35.73;KOTA MALANG, JAWA TIMUR
71.71;KOTA MANADO, SULAWESI UTARA
52.71;KOTA MATARAM, NUSA TENGGARA BARAT
12.71;KOTA MEDAN, SUMATERA UTARA
18.72;KOTA METRO, LAMPUNG
35.76;KOTA MOJOKERTO, JAWA TIMUR
13.71;KOTA PADANG, SUMATERA BARAT
13.74;KOTA PADANG PANJANG, SUMATERA BARAT
12.77;KOTA PADANGSIDIMPUAN, SUMATERA UTARA
16.72;KOTA PAGAR ALAM, SUMATERA SELATAN
62.71;KOTA PALANGKARAYA, KALIMANTAN TENGAH
