35.09.12;Kec. Ambulu, KAB. JEMBER, JAWA TIMUR
35.29.12;Kec. Ambunten, KAB. SUMENEP, JAWA TIMUR
17.07.10;Kec. Amen, KAB. LEBONG, BENGKULU
53.01.21;Kec. Amfoang Barat Daya, KAB. KUPANG, NUSA TENGGARA TIMUR
53.01.22;Kec. Amfoang Barat Laut, KAB. KUPANG, NUSA TENGGARA TIMUR
53.01.12;Kec. Amfoang Selatan, KAB. KUPANG, NUSA TENGGARA TIMUR
53.01.30;Kec. Amfoang Tengah, KAB. KUPANG, NUSA TENGGARA TIMUR
53.01.26;Kec. Amfoang Timur, KAB. KUPANG, NUSA TENGGARA TIMUR
53.01.13;Kec. Amfoang Utara, KAB. KUPANG, NUSA TENGGARA TIMUR
74.02.28;Kec. Amonggedo, KAB. KONAWE, SULAWESI TENGGARA
72.09.05;Kec. Ampana Kota, KAB. TOJO UNA UNA, SULAWESI TENGAH
72.09.04;Kec. Ampana Tete, KAB. TOJO UNA UNA, SULAWESI TENGAH
13.06.07;Kec. Ampek Angkek, KAB. AGAM, SUMATERA BARAT
13.06.13;Kec. Ampek Nagari, KAB. AGAM, SUMATERA BARAT
33.09.02;Kec. Ampel, KAB. BOYOLALI, JAWA TENGAH
33.27.11;Kec. Ampelgading, KAB. PEMALANG, JAWA TENGAH
35.07.06;Kec. Ampelgading, KAB. MALANG, JAWA TIMUR
52.71.01;Kec. Ampenan, KOTA MATARAM, NUSA TENGGARA BARAT
72.08.02;Kec. Ampibabo, KAB. PARIGI MOUTONG, SULAWESI TENGAH
95.03.11;Kec. Amuma, KAB. YAHUKIMO, PAPUA PEGUNUNGAN
94.05.23;Kec. Amungkalpia, KAB. PUNCAK, PAPUA TENGAH
63.08.04;Kec. Amuntai Selatan, KAB. HULU SUNGAI UTARA, KALIMANTAN SELATAN
63.08.05;Kec. Amuntai Tengah, KAB. HULU SUNGAI UTARA, KALIMANTAN SELATAN
63.08.06;Kec. Amuntai Utara, KAB. HULU SUNGAI UTARA, KALIMANTAN SELATAN
71.05.10;Kec. Amurang, KAB. MINAHASA SELATAN, SULAWESI UTARA
71.05.17;Kec. Amurang Barat, KAB. MINAHASA SELATAN, SULAWESI UTARA
71.05.18;Kec. Amurang Timur, KAB. MINAHASA SELATAN, SULAWESI UTARA
18.02.27;Kec. Anak Ratu Aji, KAB. LAMPUNG TENGAH, LAMPUNG
18.02.21;Kec. Anak Tuha, KAB. LAMPUNG TENGAH, LAMPUNG
95.04.36;Kec. Anawi, KAB. TOLIKARA, PAPUA PEGUNUNGAN
12.01.12;Kec. Andam Dewi, KAB. TAPANULI TENGAH, SUMATERA UTARA
91.06.14;Kec. Andey, KAB. BIAK NUMFOR, PAPUA
32.73.05;Kec. Andir, KOTA BANDUNG, JAWA BARAT
33.09.16;Kec. Andong, KAB. BOYOLALI, JAWA TENGAH
74.05.03;Kec. Andoolo, KAB. KONAWE SELATAN, SULAWESI TENGGARA
74.05.25;Kec. Andoolo Barat, KAB. KONAWE SELATAN, SULAWESI TENGGARA
74.09.09;Kec. Andowia, KAB. KONAWE UTARA, SULAWESI TENGGARA
74.05.02;Kec. Angata, KAB. KONAWE SELATAN, SULAWESI TENGGARA
74.02.24;Kec. Anggaberi, KAB. KONAWE, SULAWESI TENGGARA
74.02.40;Kec. Anggalomoare, KAB. KONAWE, SULAWESI TENGGARA
64.02.04;Kec. Anggana, KAB. KUTAI KARTANEGARA, KALIMANTAN TIMUR
73.16.04;Kec. Anggeraja, KAB. ENREKANG, SULAWESI SELATAN
92.12.01;Kec. Anggi, KAB. PEGUNUNGAN ARFAK, PAPUA BARAT
92.12.02;Kec. Anggi Gida, KAB. PEGUNUNGAN ARFAK, PAPUA BARAT
75.05.03;Kec. Anggrek, KAB. GORONTALO UTARA, GORONTALO
95.03.02;Kec. Anggruk, KAB. YAHUKIMO, PAPUA PEGUNUNGAN
91.05.04;Kec. Angkaisera, KAB. KEPULAUAN YAPEN, PAPUA
63.06.04;Kec. Angkinang, KAB. HULU SUNGAI SELATAN, KALIMANTAN SELATAN
12.03.01;Kec. Angkola Barat, KAB. TAPANULI SELATAN, SUMATERA UTARA
12.03.32;Kec. Angkola Muara Tais, KAB. TAPANULI SELATAN, SUMATERA UTARA
12.03.31;Kec. Angkola Sangkunur, KAB. TAPANULI SELATAN, SUMATERA UTARA
12.03.06;Kec. Angkola Selatan, KAB. TAPANULI SELATAN, SUMATERA UTARA
12.03.03;Kec. Angkola Timur, KAB. TAPANULI SELATAN, SUMATERA UTARA
73.24.05;Kec. Angkona, KAB. LUWU TIMUR, SULAWESI SELATAN
36.01.07;Kec. Angsana, KAB. PANDEGLANG, BANTEN
63.10.09;Kec. Angsana, KAB. TANAH BUMBU, KALIMANTAN SELATAN
93.01.13;Kec. Animha, KAB. MERAUKE, PAPUA SELATAN
32.12.23;Kec. Anjatan, KAB. INDRAMAYU, JAWA BARAT
63.04.04;Kec. Anjir Muara, KAB. BARITO KUALA, KALIMANTAN SELATAN
63.04.03;Kec. Anjir Pasar, KAB. BARITO KUALA, KALIMANTAN SELATAN
61.02.16;Kec. Anjongan, KAB. MEMPAWAH, KALIMANTAN BARAT
91.05.15;Kec. Anotaurei, KAB. KEPULAUAN YAPEN, PAPUA
76.04.13;Kec. Anreapi, KAB. POLEWALI MANDAR, SULAWESI BARAT
62.02.10;Kec. Antang Kalang, KAB. KOTAWARINGIN TIMUR, KALIMANTAN TENGAH
32.73.20;Kec. Antapani, KOTA BANDUNG, JAWA BARAT
36.04.30;Kec. Anyar, KAB. SERANG, BANTEN
95.06.02;Kec. Apalapsili, KAB. YALIMO, PAPUA PEGUNUNGAN
91.10.09;Kec. Apawer Hulu, KAB. SARMI, PAPUA
94.03.03;Kec. Aradide, KAB. PANIAI, PAPUA TENGAH
32.12.19;Kec. Arahan, KAB. INDRAMAYU, JAWA BARAT
76.03.02;Kec. Aralle, KAB. MAMASA, SULAWESI BARAT
12.14.15;Kec. Aramo, KAB. NIAS SELATAN, SUMATERA UTARA
92.06.04;Kec. Aranday, KAB. TELUK BINTUNI, PAPUA BARAT
63.03.11;Kec. Aranio, KAB. BANJAR, KALIMANTAN SELATAN
32.73.24;Kec. Arcamanik, KOTA BANDUNG, JAWA BARAT
32.10.05;Kec. Argapura, KAB. MAJALENGKA, JAWA BARAT
33.73.03;Kec. Argomulyo, KOTA SALATIGA, JAWA TENGAH
92.03.13;Kec. Arguni, KAB. FAK FAK, PAPUA BARAT
93.02.09;Kec. Arimop, KAB. BOVEN DIGOEL, PAPUA SELATAN
35.09.22;Kec. Arjasa, KAB. JEMBER, JAWA TIMUR
35.12.11;Kec. Arjasa, KAB. SITUBONDO, JAWA TIMUR
35.29.24;Kec. Arjasa, KAB. SUMENEP, JAWA TIMUR
32.04.16;Kec. Arjasari, KAB. BANDUNG, JAWA BARAT
32.09.24;Kec. Arjawinangun, KAB. CIREBON, JAWA BARAT
35.01.06;Kec. Arjosari, KAB. PACITAN, JAWA TIMUR
17.03.21;Kec. Arma Jaya, KAB. BENGKULU UTARA, BENGKULU
92.06.16;Kec. Aroba, KAB. TELUK BINTUNI, PAPUA BARAT
11.05.07;Kec. Arongan Lambalek, KAB. ACEH BARAT, ACEH
35.26.05;Kec. Arosbaya, KAB. BANGKALAN, JAWA TIMUR
12.03.14;Kec. Arse, KAB. TAPANULI SELATAN, SUMATERA UTARA
91.11.02;Kec. Arso, KAB. KEEROM, PAPUA
91.11.08;Kec. Arso Barat, KAB. KEEROM, PAPUA
91.11.06;Kec. Arso Timur, KAB. KEEROM, PAPUA
81.07.02;Kec. Aru Selatan, KAB. KEPULAUAN ARU, MALUKU
81.07.09;Kec. Aru Selatan Timur, KAB. KEPULAUAN ARU, MALUKU
81.07.10;Kec. Aru Selatan Utara, KAB. KEPULAUAN ARU, MALUKU
81.07.03;Kec. Aru Tengah, KAB. KEPULAUAN ARU, MALUKU
81.07.08;Kec. Aru Tengah Selatan, KAB. KEPULAUAN ARU, MALUKU
81.07.07;Kec. Aru Tengah Timur, KAB. KEPULAUAN ARU, MALUKU
81.07.04;Kec. Aru Utara, KAB. KEPULAUAN ARU, MALUKU
81.07.05;Kec. Aru Utara Timur Batuley, KAB. KEPULAUAN ARU, MALUKU
73.04.09;Kec. Arungkeke, KAB. JENEPONTO, SULAWESI SELATAN
62.01.02;Kec. Arut Selatan, KAB. KOTAWARINGIN BARAT, KALIMANTAN TENGAH
62.01.04;Kec. Arut Utara, KAB. KOTAWARINGIN BARAT, KALIMANTAN TENGAH
52.72.03;Kec. Asakota, KOTA BIMA, NUSA TENGGARA BARAT
13.10.10;Kec. Asam Jujuhan, KAB. DHARMASRAYA, SUMATERA BARAT
35.78.28;Kec. Asem Rowo, KOTA SURABAYA, JAWA TIMUR
35.12.13;Kec. Asembagus, KAB. SITUBONDO, JAWA TIMUR
74.09.01;Kec. Asera, KAB. KONAWE UTARA, SULAWESI TENGGARA
92.09.15;Kec. Ases, KAB. TAMBRAUW, PAPUA BARAT
74.02.31;Kec. Asinua, KAB. KONAWE, SULAWESI TENGGARA
95.01.03;Kec. Asologaima, KAB. JAYAWIJAYA, PAPUA PEGUNUNGAN
95.01.09;Kec. Asolokobal, KAB. JAYAWIJAYA, PAPUA PEGUNUNGAN
95.01.36;Kec. Asotipo, KAB. JAYAWIJAYA, PAPUA PEGUNUNGAN
75.01.21;Kec. Asparaga, KAB. GORONTALO, GORONTALO
93.03.06;Kec. Assue, KAB. MAPPI, PAPUA SELATAN
63.03.07;Kec. Astambul, KAB. BANJAR, KALIMANTAN SELATAN
32.73.10;Kec. Astana Anyar, KOTA BANDUNG, JAWA BARAT
32.09.10;Kec. Astanajapura, KAB. CIREBON, JAWA BARAT
93.04.21;Kec. Aswi, KAB. ASMAT, PAPUA SELATAN
53.13.02;Kec. Atadei, KAB. LEMBATA, NUSA TENGGARA TIMUR
53.04.21;Kec. Atambua Barat, KAB. BELU, NUSA TENGGARA TIMUR
53.04.22;Kec. Atambua Selatan, KAB. BELU, NUSA TENGGARA TIMUR
75.05.01;Kec. Atinggola, KAB. GORONTALO UTARA, GORONTALO
93.04.02;Kec. Atsj, KAB. ASMAT, PAPUA SELATAN
11.04.18;Kec. Atu Lintang, KAB. ACEH TENGAH, ACEH
13.75.03;Kec. Aur Birugo Tigo Baleh, KOTA BUKITTINGGI, SUMATERA BARAT
73.26.21;Kec. Awan Rante Karua, KAB. TORAJA UTARA, SULAWESI SELATAN
62.13.04;Kec. Awang, KAB. BARITO TIMUR, KALIMANTAN TENGAH
73.08.16;Kec. Awangpone, KAB. BONE, SULAWESI SELATAN
63.11.03;Kec. Awayan, KAB. BALANGAN, KALIMANTAN SELATAN
94.03.22;Kec. Aweida, KAB. PANIAI, PAPUA TENGAH
95.04.42;Kec. Aweku, KAB. TOLIKARA, PAPUA PEGUNUNGAN
95.07.21;Kec. Awina, KAB. LANNY JAYA, PAPUA PEGUNUNGAN
95.02.18;Kec. Awinbon, KAB. PEGUNUNGAN BINTANG, PAPUA PEGUNUNGAN
93.04.22;Kec. Awyu, KAB. ASMAT, PAPUA SELATAN
33.05.01;Kec. Ayah, KAB. KEBUMEN, JAWA TENGAH
92.10.08;Kec. Ayamaru, KAB. MAYBRAT, PAPUA BARAT
92.10.21;Kec. Ayamaru Barat, KAB. MAYBRAT, PAPUA BARAT
92.10.16;Kec. Ayamaru Jaya, KAB. MAYBRAT, PAPUA BARAT
92.10.15;Kec. Ayamaru Selatan, KAB. MAYBRAT, PAPUA BARAT
92.10.17;Kec. Ayamaru Selatan Jaya, KAB. MAYBRAT, PAPUA BARAT
92.10.20;Kec. Ayamaru Tengah, KAB. MAYBRAT, PAPUA BARAT
92.10.10;Kec. Ayamaru Timur, KAB. MAYBRAT, PAPUA BARAT
92.10.18;Kec. Ayamaru Timur Selatan, KAB. MAYBRAT, PAPUA BARAT
92.10.09;Kec. Ayamaru Utara, KAB. MAYBRAT, PAPUA BARAT
92.10.19;Kec. Ayamaru Utara Timur, KAB. MAYBRAT, PAPUA BARAT
92.05.24;Kec. Ayau, KAB. RAJA AMPAT, PAPUA BARAT
93.04.18;Kec. Ayip, KAB. ASMAT, PAPUA SELATAN
95.07.22;Kec. Ayumnati, KAB. LANNY JAYA, PAPUA PEGUNUNGAN
62.02.05;Kec. Baamang, KAB. KOTAWARINGIN TIMUR, KALIMANTAN TENGAH
35.02.16;Kec. Babadan, KAB. PONOROGO, JAWA TIMUR
11.12.06;Kec. Babah Rot, KAB. ACEH BARAT DAYA, ACEH
32.09.05;Kec. Babakan, KAB. CIREBON, JAWA BARAT
32.73.03;Kec. Babakan Ciparay, KOTA BANDUNG, JAWA BARAT
32.01.05;Kec. Babakan Madang, KAB. BOGOR, JAWA BARAT
